emp_no,title,from_date,to_date
10490,Staff,1992-11-22,1997-11-22
10500,Engineer,1996-12-16,9999-01-01
10510,Senior Staff,1997-04-20,9999-01-01
10510,Staff,1990-04-20,1997-04-20
10520,Senior Engineer,1996-09-05,9999-01-01
10530,Engineer,1987-09-23,1994-09-23
10530,Senior Engineer,1994-09-23,9999-01-01
10540,Engineer,1994-05-03,2002-05-03
10540,Senior Engineer,2002-05-03,9999-01-01
10550,Engineer,1985-02-03,1994-02-03
10550,Senior Engineer,1994-02-03,9999-01-01
10560,Engineer,1996-09-03,9999-01-01
10570,Senior Staff,1995-06-16,2000-03-25
10570,Staff,1986-06-16,1995-06-16
10580,Senior Staff,1997-03-01,9999-01-01
10580,Staff,1991-03-02,1997-03-01
10590,Senior Staff,1995-04-09,9999-01-01
10590,Staff,1986-04-09,1995-04-09
10600,Senior Staff,1997-04-27,9999-01-01
10600,Staff,1992-04-27,1997-04-27
10610,Engineer,1997-03-30,9999-01-01
10620,Assistant Engineer,1990-11-10,1999-11-10
10620,Engineer,1999-11-10,9999-01-01
10630,Engineer,1997-01-13,9999-01-01
10640,Senior Staff,1992-12-04,9999-01-01
10650,Assistant Engineer,1992-10-04,2000-10-04
10650,Engineer,2000-10-04,9999-01-01
10660,Senior Engineer,1988-08-12,1991-07-12
10670,Senior Staff,1993-03-23,9999-01-01
10670,Staff,1988-03-23,1993-03-23
10680,Senior Engineer,1992-11-21,1998-12-08
10690,Engineer,1989-08-22,1994-08-22
10690,Senior Engineer,1994-08-22,9999-01-01
10700,Engineer,1998-04-14,2002-06-27
10710,Senior Staff,2000-07-08,9999-01-01
10710,Staff,1995-07-09,2000-07-08
10720,Senior Staff,1996-06-26,9999-01-01
10730,Senior Engineer,1996-05-14,1998-06-07
10740,Engineer,1996-04-30,2002-03-17
10750,Technique Leader,1998-11-06,9999-01-01
10760,Senior Staff,1997-08-22,9999-01-01
10770,Senior Staff,1987-12-25,1989-02-27
10780,Engineer,1994-08-01,1996-08-18
10790,Engineer,1999-03-02,9999-01-01
10800,Engineer,1993-05-20,1998-05-20
10800,Senior Engineer,1998-05-20,9999-01-01
10810,Senior Staff,2000-09-06,9999-01-01
10810,Staff,1994-09-07,2000-09-06
10820,Senior Staff,1992-06-26,9999-01-01
10830,Senior Staff,1997-08-23,9999-01-01
10830,Staff,1991-08-24,1997-08-23
10840,Engineer,1993-06-04,1998-06-04
10840,Senior Engineer,1998-06-04,9999-01-01
10850,Staff,1990-04-22,1995-05-11
10860,Technique Leader,1998-01-22,9999-01-01
10870,Senior Engineer,1988-01-13,9999-01-01
10880,Engineer,1992-01-11,1997-01-10
10880,Senior Engineer,1997-01-10,9999-01-01
10890,Senior Staff,1990-03-10,9999-01-01
10900,Senior Engineer,1995-09-07,9999-01-01
10910,Senior Staff,1995-09-02,9999-01-01
10910,Staff,1989-09-02,1995-09-02
10920,Senior Staff,1998-02-23,9999-01-01
10920,Staff,1992-02-24,1998-02-23
10930,Engineer,1991-11-22,1998-11-22
10930,Senior Engineer,1998-11-22,9999-01-01
10940,Engineer,1997-06-30,1999-12-02
10950,Senior Engineer,1996-06-08,1998-01-13
10960,Senior Staff,1995-07-07,9999-01-01
10970,Engineer,1995-11-14,9999-01-01
10980,Engineer,1989-01-04,1997-01-04
10980,Senior Engineer,1997-01-04,9999-01-01
10990,Technique Leader,1990-08-06,9999-01-01
11000,Senior Engineer,1996-01-28,9999-01-01
11010,Senior Staff,1993-12-18,9999-01-01
11010,Staff,1986-12-18,1993-12-18
11020,Senior Engineer,1988-03-25,9999-01-01
11030,Staff,1988-05-09,1988-07-08
11040,Senior Staff,1995-01-22,9999-01-01
11040,Staff,1988-01-22,1995-01-22
11050,Senior Staff,1991-05-06,9999-01-01
11050,Staff,1986-05-06,1991-05-06
11060,Staff,1991-05-03,1991-09-27
11070,Engineer,1985-07-24,1991-07-24
11070,Senior Engineer,1991-07-24,9999-01-01
11080,Engineer,1988-07-04,1993-07-04
11080,Senior Engineer,1993-07-04,9999-01-01
11090,Engineer,1987-05-01,1988-08-20
11100,Senior Staff,1993-10-13,9999-01-01
11100,Staff,1986-10-13,1993-10-13
11110,Staff,1987-11-14,1992-03-30
11120,Senior Staff,1996-01-22,9999-01-01
11120,Staff,1988-01-22,1996-01-22
11130,Senior Staff,1997-02-17,9999-01-01
11140,Engineer,1998-05-06,9999-01-01
11150,Senior Staff,1998-05-01,9999-01-01
11150,Staff,1989-05-01,1998-05-01
11160,Senior Engineer,1987-05-07,1991-04-12
11170,Senior Engineer,1990-06-20,9999-01-01
11180,Engineer,1986-06-11,1992-06-10
11180,Senior Engineer,1992-06-10,9999-01-01
11190,Senior Staff,2001-03-06,9999-01-01
11190,Staff,1992-03-06,2001-03-06
11200,Technique Leader,1995-04-08,9999-01-01
11210,Senior Staff,1994-08-25,9999-01-01
11210,Staff,1989-08-25,1994-08-25
11220,Staff,1995-10-27,9999-01-01
11230,Senior Engineer,1999-04-20,1999-11-01
11240,Assistant Engineer,1989-01-06,1997-01-06
11240,Engineer,1997-01-06,9999-01-01
11250,Senior Engineer,1994-07-08,9999-01-01
11260,Staff,1996-05-16,9999-01-01
11270,Senior Staff,1995-09-04,9999-01-01
11270,Staff,1989-09-04,1995-09-04
11280,Senior Staff,1989-08-07,1998-04-14
11290,Engineer,1999-05-13,9999-01-01
11300,Engineer,1992-09-10,1996-12-20
11310,Staff,1995-10-02,9999-01-01
11320,Senior Staff,1998-04-06,9999-01-01
11320,Staff,1990-04-06,1998-04-06
11330,Engineer,1992-09-21,1998-05-20
11340,Engineer,1991-09-11,1998-09-11
11340,Senior Engineer,1998-09-11,9999-01-01
11350,Assistant Engineer,1985-07-21,1991-07-21
11350,Engineer,1991-07-21,1997-07-20
11350,Senior Engineer,1997-07-20,9999-01-01
11360,Senior Staff,1997-01-12,9999-01-01
11360,Staff,1989-01-12,1997-01-12
11370,Engineer,1989-08-22,1998-08-22
11370,Senior Engineer,1998-08-22,9999-01-01
11380,Assistant Engineer,1991-04-19,1996-04-18
11380,Engineer,1996-04-18,2001-04-18
11380,Senior Engineer,2001-04-18,9999-01-01
11390,Senior Engineer,1990-12-19,1992-02-26
11400,Engineer,1990-04-23,1992-07-08
11410,Engineer,1999-10-25,9999-01-01
11420,Senior Staff,1992-01-31,9999-01-01
11430,Staff,1997-07-06,9999-01-01
11440,Engineer,1994-03-03,9999-01-01
11450,Engineer,1988-10-06,1995-10-07
11450,Senior Engineer,1995-10-07,2000-07-13
11460,Engineer,1992-05-28,2001-05-28
11460,Senior Engineer,2001-05-28,9999-01-01
11470,Engineer,1999-08-10,9999-01-01
11480,Senior Staff,2001-11-27,9999-01-01
11480,Staff,1995-11-28,2001-11-27
11490,Staff,1997-10-24,9999-01-01
11500,Engineer,1991-05-07,1998-05-07
11500,Senior Engineer,1998-05-07,9999-01-01
11510,Staff,1998-12-29,2001-04-01
11520,Senior Staff,1999-11-20,9999-01-01
11520,Staff,1991-11-20,1999-11-20
11530,Senior Staff,1999-08-31,9999-01-01
11530,Staff,1992-08-30,1999-08-31
11540,Engineer,1997-07-02,2002-07-02
11540,Senior Engineer,2002-07-02,9999-01-01
11550,Engineer,1997-12-16,9999-01-01
11560,Senior Staff,1997-10-01,9999-01-01
11560,Staff,1991-10-02,1997-10-01
11570,Senior Staff,1994-10-07,9999-01-01
11570,Staff,1988-10-07,1994-10-07
11580,Senior Engineer,1985-07-06,9999-01-01
11590,Engineer,1997-06-26,9999-01-01
11600,Engineer,1995-08-14,2001-08-13
11600,Senior Engineer,2001-08-13,9999-01-01
11610,Engineer,1985-10-18,1991-10-18
11610,Senior Engineer,1991-10-18,9999-01-01
11620,Engineer,1985-10-16,1987-06-17
11630,Staff,1999-06-03,1999-08-24
11640,Senior Engineer,1988-09-26,9999-01-01
11650,Senior Staff,1996-12-05,1999-04-01
11660,Senior Staff,1994-11-22,9999-01-01
11660,Staff,1986-11-22,1994-11-22
11670,Senior Staff,1985-05-17,9999-01-01
11680,Senior Staff,1999-10-05,9999-01-01
11680,Staff,1994-10-05,1999-10-05
11690,Staff,1997-09-23,9999-01-01
11700,Senior Staff,1999-06-17,9999-01-01
11700,Staff,1993-06-17,1999-06-17
11710,Staff,1998-11-06,2000-05-07
11720,Senior Staff,1997-08-19,9999-01-01
11720,Staff,1992-08-19,1997-08-19
11730,Staff,1997-11-13,9999-01-01
11740,Senior Staff,1993-09-03,9999-01-01
11740,Staff,1986-09-03,1993-09-03
11750,Engineer,1995-11-19,9999-01-01
11760,Assistant Engineer,1985-09-15,1991-09-15
11760,Engineer,1991-09-15,1997-09-14
11760,Senior Engineer,1997-09-14,9999-01-01
11770,Engineer,1992-11-29,2000-11-29
11770,Senior Engineer,2000-11-29,9999-01-01
11780,Engineer,1987-09-11,1992-09-10
11780,Senior Engineer,1992-09-10,9999-01-01
11790,Senior Engineer,1988-03-09,9999-01-01
11800,Senior Engineer,1990-08-08,1994-05-08
11810,Senior Engineer,1992-01-05,9999-01-01
11820,Engineer,1993-06-20,1999-06-20
11820,Senior Engineer,1999-06-20,9999-01-01
11830,Senior Staff,1993-07-15,1994-03-13
11830,Staff,1986-07-15,1993-07-15
11840,Senior Staff,1994-12-21,9999-01-01
11840,Staff,1986-12-21,1994-12-21
11850,Senior Staff,1999-02-10,9999-01-01
11850,Staff,1991-02-10,1999-02-10
11860,Assistant Engineer,1992-12-04,1999-12-05
11860,Engineer,1999-12-05,2002-01-03
11870,Engineer,1990-12-01,1998-12-01
11870,Senior Engineer,1998-12-01,1999-02-13
11880,Senior Staff,1999-01-31,9999-01-01
11880,Staff,1993-01-31,1999-01-31
11890,Senior Staff,1995-02-09,9999-01-01
11890,Staff,1990-02-09,1995-02-09
11900,Technique Leader,1990-05-26,9999-01-01
11910,Engineer,1992-09-12,1999-09-13
11910,Senior Engineer,1999-09-13,2002-07-09
11920,Assistant Engineer,1985-12-24,1994-12-24
11920,Engineer,1994-12-24,9999-01-01
11930,Senior Engineer,1991-01-14,1992-01-11
11940,Assistant Engineer,1996-11-02,9999-01-01
11950,Engineer,1987-10-23,1993-10-22
11950,Senior Engineer,1993-10-22,2002-06-25
11960,Senior Staff,1995-07-29,9999-01-01
11960,Staff,1988-07-28,1995-07-29
11970,Technique Leader,1993-02-28,1994-09-13
11980,Staff,1998-02-18,9999-01-01
11990,Engineer,1988-09-05,1996-09-05
11990,Senior Engineer,1996-09-05,9999-01-01
12000,Engineer,1989-12-11,1997-12-11
12000,Senior Engineer,1997-12-11,9999-01-01
12010,Technique Leader,1989-09-02,9999-01-01
12020,Senior Staff,1993-08-09,9999-01-01
12020,Staff,1988-08-09,1993-08-09
12030,Staff,1996-06-24,9999-01-01
12040,Senior Staff,1998-09-28,9999-01-01
12050,Assistant Engineer,1989-04-01,1996-04-01
12050,Engineer,1996-04-01,9999-01-01
12060,Technique Leader,1996-06-21,9999-01-01
12070,Technique Leader,1988-11-14,9999-01-01
12080,Senior Staff,2001-05-17,9999-01-01
12080,Staff,1993-05-17,2001-05-17
12090,Engineer,1999-10-03,9999-01-01
12100,Senior Staff,1991-11-24,9999-01-01
12100,Staff,1986-11-24,1991-11-24
12110,Engineer,1997-04-12,2002-05-22
12120,Senior Staff,1994-06-20,9999-01-01
12120,Staff,1986-06-20,1994-06-20
12130,Senior Staff,1989-10-23,9999-01-01
12140,Senior Staff,1996-11-15,9999-01-01
12150,Engineer,1991-06-25,1997-06-24
12150,Senior Engineer,1997-06-24,9999-01-01
12160,Senior Staff,1989-09-19,9999-01-01
12170,Staff,1997-12-21,9999-01-01
12180,Senior Engineer,1990-02-05,9999-01-01
12190,Senior Engineer,1997-12-13,9999-01-01
12200,Technique Leader,1999-03-08,9999-01-01
12210,Senior Staff,1997-11-08,9999-01-01
12210,Staff,1992-11-08,1997-11-08
12220,Staff,1988-07-11,1991-05-21
12230,Engineer,1997-04-13,9999-01-01
12240,Engineer,1989-08-03,1993-03-29
12250,Senior Engineer,1991-04-25,9999-01-01
12260,Engineer,1991-04-26,1991-05-09
12270,Senior Staff,1996-08-19,9999-01-01
12270,Staff,1989-08-19,1996-08-19
12280,Senior Engineer,1985-02-27,9999-01-01
12290,Senior Staff,1994-08-10,9999-01-01
12290,Staff,1985-08-10,1994-08-10
12300,Senior Engineer,1990-05-16,9999-01-01
12310,Engineer,1990-12-21,1999-12-21
12310,Senior Engineer,1999-12-21,9999-01-01
12320,Engineer,1993-02-28,2002-02-28
12320,Senior Engineer,2002-02-28,9999-01-01
12330,Staff,1999-02-13,9999-01-01
12340,Technique Leader,1990-08-07,9999-01-01
12350,Senior Engineer,1996-08-25,9999-01-01
12360,Engineer,1995-02-02,2000-02-02
12360,Senior Engineer,2000-02-02,2001-02-17
12370,Technique Leader,1994-01-29,9999-01-01
12380,Staff,1991-09-03,1991-09-15
12390,Staff,1997-07-09,9999-01-01
12400,Staff,1999-02-28,9999-01-01
12410,Technique Leader,1988-04-28,9999-01-01
12420,Engineer,1996-11-28,9999-01-01
12430,Senior Staff,1992-08-14,9999-01-01
12430,Staff,1987-08-15,1992-08-14
12440,Engineer,1996-08-14,1999-07-30
12450,Engineer,1992-02-02,1999-02-02
12450,Senior Engineer,1999-02-02,9999-01-01
12460,Senior Staff,1998-07-10,9999-01-01
12470,Engineer,1996-02-29,1998-06-22
12480,Staff,1997-12-21,9999-01-01
12490,Engineer,1994-05-09,2000-05-08
12490,Senior Engineer,2000-05-08,9999-01-01
12500,Engineer,1997-05-11,9999-01-01
12510,Senior Engineer,1985-05-15,9999-01-01
12520,Engineer,1999-03-06,9999-01-01
12530,Engineer,1992-03-12,1999-12-18
12540,Senior Staff,1998-11-28,9999-01-01
12550,Senior Engineer,1999-05-14,9999-01-01
12560,Senior Staff,1991-05-19,9999-01-01
12560,Staff,1986-05-19,1991-05-19
12570,Senior Engineer,1985-03-28,9999-01-01
12580,Engineer,1991-03-04,1998-03-04
12580,Senior Engineer,1998-03-04,9999-01-01
12590,Senior Staff,1993-02-25,9999-01-01
12600,Technique Leader,1986-09-23,9999-01-01
12610,Senior Engineer,1996-02-01,9999-01-01
12620,Senior Staff,1995-09-17,9999-01-01
12620,Staff,1988-09-16,1995-09-17
12630,Senior Staff,1997-06-03,9999-01-01
12630,Staff,1989-06-03,1997-06-03
12640,Senior Staff,2002-05-29,9999-01-01
12640,Staff,1996-05-29,2002-05-29
12650,Engineer,1986-05-22,1992-05-21
12650,Senior Engineer,1992-05-21,9999-01-01
12660,Senior Staff,1998-11-23,9999-01-01
12660,Staff,1990-11-23,1998-11-23
12670,Engineer,1999-09-10,9999-01-01
12680,Staff,1995-11-12,9999-01-01
12690,Senior Staff,1997-11-16,2001-03-08
12690,Staff,1991-11-17,1997-11-16
12700,Engineer,1991-04-01,1999-04-01
12700,Senior Engineer,1999-04-01,9999-01-01
12710,Engineer,1990-01-20,1995-01-20
12710,Senior Engineer,1995-01-20,2001-11-30
12720,Staff,1995-11-03,9999-01-01
12730,Technique Leader,1993-07-24,1998-03-24
12740,Staff,1998-05-15,9999-01-01
12750,Technique Leader,1995-07-02,9999-01-01
12760,Engineer,1986-10-19,1993-10-19
12760,Senior Engineer,1993-10-19,9999-01-01
12770,Senior Staff,1990-11-16,9999-01-01
12780,Technique Leader,1987-10-21,9999-01-01
12790,Senior Staff,2000-08-07,9999-01-01
12790,Staff,1995-08-08,2000-08-07
12800,Staff,1997-10-08,9999-01-01
12810,Technique Leader,1996-07-06,9999-01-01
12820,Senior Staff,2001-12-04,9999-01-01
12820,Staff,1992-12-04,2001-12-04
12830,Engineer,1993-01-17,2001-01-17
12830,Senior Engineer,2001-01-17,9999-01-01
12840,Engineer,1994-09-10,9999-01-01
12850,Senior Staff,1996-03-27,9999-01-01
12850,Staff,1991-03-28,1996-03-27
12860,Engineer,1991-08-16,1999-08-16
12860,Senior Engineer,1999-08-16,9999-01-01
12870,Senior Staff,1995-04-09,9999-01-01
12870,Staff,1990-04-09,1995-04-09
12880,Staff,1996-11-06,1999-06-02
12890,Senior Staff,1985-10-31,9999-01-01
12900,Assistant Engineer,1999-05-11,9999-01-01
12910,Staff,1998-03-16,9999-01-01
12920,Senior Engineer,1998-11-23,9999-01-01
12930,Engineer,1996-02-04,1997-10-02
12940,Engineer,1987-12-12,1992-12-11
12940,Senior Engineer,1992-12-11,9999-01-01
12950,Senior Staff,1997-11-29,9999-01-01
12950,Staff,1989-11-29,1997-11-29
12960,Engineer,1994-08-19,9999-01-01
12970,Technique Leader,1995-06-12,9999-01-01
12980,Engineer,1988-02-05,1995-02-05
12980,Senior Engineer,1995-02-05,9999-01-01
12990,Engineer,1985-07-12,1990-07-12
12990,Senior Engineer,1990-07-12,9999-01-01
13000,Engineer,1997-07-05,9999-01-01
13010,Engineer,1988-08-05,1995-08-06
13010,Senior Engineer,1995-08-06,9999-01-01
13020,Senior Staff,1995-07-06,9999-01-01
13020,Staff,1987-07-06,1995-07-06
13030,Senior Staff,1999-11-25,9999-01-01
13030,Staff,1993-11-25,1999-11-25
13040,Senior Engineer,1986-07-07,1987-10-19
13050,Senior Staff,2002-05-02,9999-01-01
13050,Staff,1993-05-02,2002-05-02
13060,Engineer,1990-03-04,1995-03-04
13060,Senior Engineer,1995-03-04,9999-01-01
13070,Engineer,1989-10-20,1997-10-20
13070,Senior Engineer,1997-10-20,9999-01-01
13080,Engineer,1994-11-16,9999-01-01
13090,Senior Engineer,1991-05-22,9999-01-01
13100,Assistant Engineer,1991-01-22,1997-01-21
13100,Engineer,1997-01-21,9999-01-01
13110,Senior Engineer,1989-07-16,9999-01-01
13120,Senior Staff,2001-11-03,9999-01-01
13120,Staff,1992-11-03,2001-11-03
13130,Engineer,1987-11-28,1989-01-10
13140,Staff,1999-05-30,9999-01-01
13150,Technique Leader,1991-06-15,9999-01-01
13160,Engineer,1999-05-20,9999-01-01
13170,Senior Staff,1998-01-09,9999-01-01
13170,Staff,1993-01-09,1998-01-09
13180,Senior Staff,1992-05-04,9999-01-01
13190,Senior Staff,1991-07-17,9999-01-01
13190,Staff,1986-07-17,1991-07-17
13200,Engineer,1991-08-07,1998-08-07
13200,Senior Engineer,1998-08-07,9999-01-01
13210,Senior Staff,2002-07-27,9999-01-01
13210,Staff,1997-07-27,2002-07-27
13220,Engineer,1999-05-09,2001-01-10
13230,Engineer,1993-03-24,1998-03-24
13230,Senior Engineer,1998-03-24,9999-01-01
13240,Engineer,1994-03-10,2001-03-10
13240,Senior Engineer,2001-03-10,9999-01-01
13250,Assistant Engineer,1988-10-28,1993-10-28
13250,Engineer,1993-10-28,1998-10-27
13250,Senior Engineer,1998-10-27,9999-01-01
13260,Technique Leader,1997-02-08,9999-01-01
13270,Engineer,1999-01-16,9999-01-01
13280,Senior Staff,1990-03-30,9999-01-01
13280,Staff,1985-03-30,1990-03-30
13290,Staff,1995-12-24,9999-01-01
13300,Senior Staff,1987-06-17,9999-01-01
13310,Technique Leader,1995-09-08,9999-01-01
13320,Engineer,1993-04-10,2002-04-10
13320,Senior Engineer,2002-04-10,9999-01-01
13330,Engineer,1993-08-19,1999-08-19
13330,Senior Engineer,1999-08-19,9999-01-01
13340,Engineer,1990-08-15,1998-08-15
13340,Senior Engineer,1998-08-15,9999-01-01
13350,Senior Engineer,1997-09-24,2001-12-20
13360,Assistant Engineer,1999-02-23,9999-01-01
13370,Senior Staff,1995-06-23,9999-01-01
13370,Staff,1990-06-23,1995-06-23
13380,Senior Staff,1998-01-08,9999-01-01
13380,Staff,1989-01-08,1998-01-08
13390,Engineer,1999-01-10,9999-01-01
13400,Engineer,1995-05-31,9999-01-01
13410,Senior Staff,1995-01-19,9999-01-01
13410,Staff,1989-01-19,1995-01-19
13420,Senior Engineer,1996-02-16,9999-01-01
13430,Senior Staff,1989-06-18,1990-04-17
13440,Engineer,1989-03-03,1997-03-03
13440,Senior Engineer,1997-03-03,9999-01-01
13450,Engineer,1986-03-15,1995-03-15
13450,Senior Engineer,1995-03-15,9999-01-01
13460,Engineer,1993-05-09,1998-05-09
13460,Senior Engineer,1998-05-09,9999-01-01
13470,Senior Staff,1993-09-09,2002-02-23
13480,Technique Leader,1993-06-18,9999-01-01
13490,Staff,1992-07-31,1994-04-12
13500,Senior Engineer,1991-11-07,9999-01-01
13510,Senior Staff,1996-12-24,9999-01-01
13510,Staff,1991-12-25,1996-12-24
13520,Engineer,1995-11-03,2001-11-02
13520,Senior Engineer,2001-11-02,9999-01-01
13530,Engineer,1993-05-26,1993-08-27
13540,Staff,1999-09-16,9999-01-01
13550,Assistant Engineer,1992-04-15,1997-04-15
13550,Engineer,1997-04-15,1998-02-25
13560,Assistant Engineer,1986-07-28,1994-07-28
13560,Engineer,1994-07-28,1998-03-12
13570,Senior Staff,1992-03-14,9999-01-01
13570,Staff,1986-03-15,1992-03-14
13580,Engineer,1993-12-22,1998-04-29
13590,Engineer,1986-03-14,1993-03-14
13590,Senior Engineer,1993-03-14,9999-01-01
13600,Staff,1997-09-02,9999-01-01
13610,Staff,1995-05-28,9999-01-01
13620,Engineer,1985-06-12,1992-06-12
13620,Senior Engineer,1992-06-12,9999-01-01
13630,Engineer,1990-05-06,1996-04-03
13640,Senior Engineer,1987-09-20,9999-01-01
13650,Senior Staff,1996-11-19,9999-01-01
13660,Staff,1998-02-18,2002-04-28
13670,Senior Engineer,1988-06-30,9999-01-01
13680,Staff,1996-02-05,9999-01-01
13690,Senior Staff,1998-10-23,9999-01-01
13690,Staff,1989-10-23,1998-10-23
13700,Staff,1998-12-11,9999-01-01
13710,Assistant Engineer,1998-04-30,9999-01-01
13720,Senior Staff,1994-03-01,9999-01-01
13720,Staff,1989-03-01,1994-03-01
13730,Senior Staff,1999-07-20,9999-01-01
13730,Staff,1991-07-20,1999-07-20
13740,Assistant Engineer,1996-11-11,9999-01-01
13750,Engineer,1995-08-22,2000-08-21
13750,Senior Engineer,2000-08-21,9999-01-01
13760,Engineer,1994-07-05,1997-02-09
13770,Senior Staff,1999-04-26,9999-01-01
13770,Staff,1990-04-26,1999-04-26
13780,Engineer,1994-10-07,1999-02-04
13790,Staff,1987-07-07,1990-10-07
13800,Technique Leader,1998-03-25,9999-01-01
13810,Staff,1998-12-06,1999-03-07
13820,Senior Staff,1997-08-07,9999-01-01
13820,Staff,1990-08-07,1997-08-07
13830,Senior Staff,1995-09-10,9999-01-01
13830,Staff,1989-09-10,1995-09-10
13840,Engineer,1998-12-12,1999-12-30
13850,Technique Leader,1996-10-10,9999-01-01
13860,Senior Staff,1988-07-27,9999-01-01
13870,Engineer,1997-02-17,9999-01-01
13880,Senior Staff,1991-12-24,9999-01-01
13880,Staff,1985-12-24,1991-12-24
13890,Senior Staff,1991-11-30,9999-01-01
13890,Staff,1985-11-30,1991-11-30
13900,Engineer,1999-08-14,9999-01-01
13910,Engineer,1995-07-16,2001-07-15
13910,Senior Engineer,2001-07-15,9999-01-01
13920,Senior Staff,1992-11-18,9999-01-01
13920,Staff,1987-11-19,1992-11-18
13930,Senior Staff,1992-11-26,2000-04-20
13930,Staff,1985-11-26,1992-11-26
13940,Staff,1999-03-30,1999-04-30
13950,Engineer,1990-05-09,1995-05-09
13950,Senior Engineer,1995-05-09,9999-01-01
13960,Senior Staff,1996-04-06,9999-01-01
13970,Engineer,1990-10-07,1996-10-06
13970,Senior Engineer,1996-10-06,9999-01-01
13980,Senior Staff,1999-07-09,9999-01-01
13980,Staff,1994-07-09,1999-07-09
13990,Assistant Engineer,1988-06-10,1996-06-10
13990,Engineer,1996-06-10,9999-01-01
14000,Staff,1993-08-20,9999-01-01
14010,Senior Staff,1990-03-08,9999-01-01
14020,Staff,1995-10-31,9999-01-01
14030,Technique Leader,1991-07-17,9999-01-01
14040,Engineer,1987-08-20,1993-08-19
14040,Senior Engineer,1993-08-19,9999-01-01
14050,Staff,1995-10-30,9999-01-01
14060,Engineer,1992-09-07,1997-09-07
14060,Senior Engineer,1997-09-07,9999-01-01
14070,Senior Staff,1994-02-22,9999-01-01
14070,Staff,1989-02-22,1994-02-22
14080,Engineer,1987-12-02,1993-12-01
14080,Senior Engineer,1993-12-01,1998-06-09
14090,Senior Staff,1995-06-18,9999-01-01
14090,Staff,1987-06-18,1995-06-18
14100,Senior Engineer,1991-08-26,1997-11-23
14110,Senior Staff,1994-05-17,9999-01-01
