city_id,city_name,country_name,name
122,Lanpelan,Indonesia,Snaptags
123,Żyrardów,Poland,Babbleblab
124,Pęczniew,Poland,Fivechat
125,Banjar Banyuning Barat,Indonesia,Jetwire
126,Valença,Brazil,Mudo
127,Diaofeng,China,Skiba
128,Turi,Indonesia,Realcube
129,Nongba,China,Jabbercube
130,Falun,Sweden,Centimia
131,Djambala,Republic of the Congo,Quamba
132,Genova,Italy,Camido
133,Aubenas,France,Katz
134,Timaru,New Zealand,Rhynyx
135,Qŭrghontepa,Uzbekistan,Oyoyo
136,San Francisco,Venezuela,Avamba
137,Yan Nawa,Thailand,Oyondu
138,Södertälje,Sweden,Skaboo
139,Sakété,Benin,Roombo
140,Newcastle,Saint Kitts and Nevis,Browsedrive
141,Lais,Philippines,Skyvu
142,Banjar Jagasatru,Indonesia,Pixope
143,Sakura,Japan,Plajo
144,Stráž nad Nisou,Czech Republic,Gigabox
145,Bay Roberts,Canada,Kayveo
146,Jianggu,China,Twinder
147,Roissy Charles-de-Gaulle,France,Skyba
148,Kosaya Gora,Russia,Fiveclub
149,Novo Cruzeiro,Brazil,Photobug
150,Allkaj,Albania,Thoughtmix
151,Vidual,Portugal,Dabshots
152,Nāḩiyat as Sab‘ Biyār,Syria,Fivespan
153,Skomielna Czarna,Poland,Dabjam
154,Paços,Portugal,Jetpulse
155,Bergen,Norway,Mita
156,Luyi,China,Skivee
157,Maracanaú,Brazil,Gabcube
158,Priyutovo,Russia,Lazzy
159,Kotakaya Dua,Indonesia,Rhycero
160,Artjärvi,Finland,Teklist
161,Svetlograd,Russia,Ailane
162,Ugba,Nigeria,Dabshots
163,Panshi,China,Yakijo
164,Murmuiža,Latvia,Tagtune
165,Puerto Eldorado,Argentina,Shuffledrive
166,Maralik,Armenia,Devshare
167,Karangsono,Indonesia,Divavu
168,Zhukovka,Russia,Janyx
169,Pukou,China,Livefish
170,Meilong,China,Snaptags
171,San Juan,Puerto Rico,Jabbertype
172,Hagerstown,United States,Tagchat
173,Cai Doi Vam,Vietnam,Edgetag
174,Glondong,Indonesia,Photobug
175,Lagos,Nigeria,Buzzster
176,Sulbiny Górne,Poland,Browsecat
177,Pringu,Indonesia,Twitterbeat
178,Dehui,China,Linkbuzz
179,Gongpo,China,Twitterwire
180,Gœsdorf,Luxembourg,Skalith
181,Karjalohja,Finland,Avavee
182,Lecherías,Venezuela,Bluejam
183,Xiaozhang,China,Vidoo
184,Benito Juarez,Mexico,Quatz
185,Yalagüina,Nicaragua,Fivebridge
186,Jardim,Brazil,Ainyx
187,Sukasirna,Indonesia,Yadel
188,Shuitou,China,Gabcube
189,La Loma,Mexico,Linktype
190,Kousa,Egypt,Dynazzy
191,Nanterre,France,Demizz
192,Kotauneng,Indonesia,Ntags
193,Kanaya,Japan,Lajo
194,Atlanta,United States,Voonder
195,Wanghu,China,Oba
196,Aldergrove,Canada,Yodoo
197,Forestville,Canada,Meeveo
198,El Socorro,Honduras,Cogidoo
199,Muñoz East,Philippines,Topicware
200,Butajīra,Ethiopia,Tagcat
